slug,name,aka,description,category,category_color,svg,png,svg_url,png_url,docs,source_url
"databricks-apps","Databricks Apps","","Serverless hosting for Python data and AI apps built with Streamlit, Dash or Gradio, with Unity Catalog auth.","Developer Tools & Apps","#618794","svg/databricks-apps.svg","png/databricks-apps.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks-apps.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks-apps.png","https://www.databricks.com/product/databricks-apps","https://www.databricks.com/sites/default/files/2025-06/appsIcon-orange.svg"
"notebooks","Databricks Notebooks","","Collaborative multi-language notebooks with built-in visualisation, versioning and AI assistance.","Developer Tools & Apps","#618794","svg/notebooks.svg","png/notebooks.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/notebooks.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/notebooks.png","https://www.databricks.com/product/collaborative-notebooks","https://www.databricks.com/sites/default/files/2026-03/notebookIcon.svg"
"workspace","Databricks Workspace","","A collaborative environment. It groups the notebooks, queries, dashboards, jobs and files of each team.","Developer Tools & Apps","#618794","svg/workspace.svg","png/workspace.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/workspace.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/workspace.png","https://docs.databricks.com/aws/en/workspace/","https://www.databricks.com/sites/default/files/2025-01/workspacesIcon-orange.svg"
"git-folders","Git Folders (Repos)","","Workspace folders backed by Git for branch-based development and CI/CD.","Developer Tools & Apps","#618794","svg/git-folders.svg","png/git-folders.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/git-folders.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/git-folders.png","https://www.databricks.com/product/repos","https://www.databricks.com/sites/default/files/2026-06/FolderBranchIcon.svg"
"asset-bundles","Databricks Asset Bundles","","Infrastructure-as-code packaging of jobs, pipelines and apps for repeatable multi-environment deploys.","Developer Tools & Apps","#618794","svg/asset-bundles.svg","png/asset-bundles.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/asset-bundles.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/asset-bundles.png","https://docs.databricks.com/aws/en/dev-tools/bundles/","https://www.databricks.com/sites/default/files/2026-06/briefcaseOutlinedIcon.svg"
"databricks-cli","Databricks CLI","","Command-line client for workspaces, jobs, compute, Unity Catalog and bundle deployment.","Developer Tools & Apps","#618794","svg/databricks-cli.svg","png/databricks-cli.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks-cli.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks-cli.png","https://docs.databricks.com/aws/en/dev-tools/cli/","https://www.databricks.com/sites/default/files/2026-03/runIcon.svg"
"databricks-connect","Databricks Connect","","Run local DataFrame code against remote Databricks compute from any IDE or application.","Developer Tools & Apps","#618794","svg/databricks-connect.svg","png/databricks-connect.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks-connect.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks-connect.png","https://docs.databricks.com/aws/en/dev-tools/databricks-connect/","https://www.databricks.com/sites/default/files/2023-07/primary-icon-orange-unified.svg"
"ide-integrations","IDE Integrations","","Official VS Code and PyCharm extensions for editing, syncing, running and debugging on Databricks.","Developer Tools & Apps","#618794","svg/ide-integrations.svg","png/ide-integrations.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/ide-integrations.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/ide-integrations.png","https://www.databricks.com/product/data-science/ide-integrations","https://www.databricks.com/sites/default/files/2026-05/codeIcon.svg"
"rest-api","REST API & SDKs","","Programmatic control of every platform resource, with official Python, Java, Go and JavaScript SDKs.","Developer Tools & Apps","#618794","svg/rest-api.svg","png/rest-api.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/rest-api.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/rest-api.png","https://docs.databricks.com/api/workspace/introduction","https://www.databricks.com/sites/default/files/2025-01/primary-icon-orange-webhook.svg"
"terraform-provider","Databricks Terraform Provider","","Official Terraform provider for declaring workspaces, compute, Unity Catalog objects and permissions.","Developer Tools & Apps","#618794","svg/terraform-provider.svg","png/terraform-provider.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/terraform-provider.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/terraform-provider.png","https://registry.terraform.io/providers/databricks/databricks/latest/docs","https://www.databricks.com/sites/default/files/2026-05/primary-icon-orange-automation.svg"
